Course Name,Subject Area,MS/HS,Teacher,Course Description,Grades,Day,Time,Supply Fee,Class Min,Class Max,Tuition
Studio Art Explorations,Art,MS,Erin Kice,"Studio Art Explorations is designed to encourage and support students in their unique creative journey. Students will learn how to see and discuss creative works more closely and to become familiar with artistic terms. An emphasis will be placed on building a daily ""art habit"" of journaling with focus on observational drawing, painting experimentation, printmaking and mixed-media work. This class is recommended for students of any art experience level.  Estimated out-of-class homework time: 30 minutes - 1 hour/week Grades 5 - 8","5,6,7,8,9",Tuesday,11:30-12:55,50,11,15,595
Journalism/Broadcasting,Elective,MS/HS,Rachel Parker,"In this class, students will create the Caught in the WEB broadcast, as well as build commercials, newsletter announcements, and other film projects. Students will have the opportunity to experience each of the roles that bring a film project together, or hone their skills in one area of creation. The syllabus will include: Script writing and editing, interviewing and performance skills, film design and editing, and camera framing and composition, all with a focus of bringing creativity and skillset together to create a finished work. Outside access to Canva is helpful/needed.  Estimated out-of-class homework time: 2-3 hours/week Grades 7 - 12","7,8,9,10,11,12",Tuesday,11:30-12:55,15,9,15,630
Psychology,Elective,HS,Jill Altom,"This class is a survey of the basic issues, concepts, theories, and methods of the field of psychology. Students will increase their awareness of the scientific approach to understanding human behavior through a study of research processes, neuroscience, sensation, perception, emotion, motivation, memory, learning, and personality formation. The course will look at individual development through a variety of modalities, including textbook readings, relevant videos, and hands-on experiments and research projects.  Estimated out-of-class homework time: 2 hours/week Grades 11 - 12","10,11,12",Tuesday,11:30-12:55,15,9,15,630
Wellness,Elective,HS,Brenda Wolff,"Students will learn self-care and awareness by covering topics such as mental health, safety on the internet and social platforms, and physical health (including nutrition and sex education). This class will qualify for the required high school wellness credit.  Estimated out-of-class homework time: 2-3 hours/week Grades 9 - 12","9,10,11,12",Tuesday,13:00-14:25,15,9,15,630
"Yearbook, Graphic Design & Photography",Elective,MS/HS,Erin Kice,"Aspiring photographers and designers will focus on learning the basics of digital design and photography, while working to design WEB's annual yearbook from start to finish. Students will conceptualize the theme for the year, photograph classes and WEB events, and design each page of the book. They will also work on individual design and photography projects throughout the year. This class involves a moderate amount of outside homework, and students will need an entry level digital camera to use for class.  Estimated out-of-class homework time: 2-3 hours/week Grades 7 - 12","7,8,9,10,11,12",Tuesday,13:00-14:25,15,9,15,630
Modern America: US History and Geography,Social Studies,HS,Meagan Rudman,"This course explores United States history from the end of Reconstruction to the present day, emphasizing the political, social and cultural forces that have shaped modern America. Through the use of primary and secondary sources, class discussions, projects, and written analysis, students will develop historical thinking skills such as sourcing, contextualization, and cause-and-effect reasoning as they examine major historical developments including industrialization, westward expansion, immigration, reform movements, the rise of the United States as a global power, the World Wars, the Cold War, the Civil Rights Movement, and contemporary issues in the 21st century. By the end of the course, students will have a deeper understanding of how the past continues to influence the United States today and how geography plays a critical role in historical development. This course is designed to meet the standards required for one high school credit.  Estimated out-of-class homework: 3 hours/week Grades 9 - 12","9,10,11,12",Tuesday,13:00-14:25,20,9,15,630
Physical Science,Science,HS,Dawn Ruiz,"Students will learn about mechanics, heat, electricity, atomic structure, astronomy, and more. Students should be enrolled in at least Pre-Algebra math concurrently. (Math does not have to be taken at WEB.) This class can qualify as a high school science credit if registered in advance as such with the Board of Education or an umbrella school. Textbook included in class fee.  Estimated out-of-class homework time: 3 hours/week Grades 8 - 9","8,9",Tuesday,11:30-12:55,40,11,15,630
Philosophy,Elective,HS,John Dvorachek,"The course will be a broad survey, studying a variety of different philosophers and their ideas throughout the history of philosophy: beginning with the Pre-Socratics and Ancient Philosophy, progressing through Medieval, Modern, Existential, and Post-Modern movements. A prevalent theme throughout the course will be to identify how various ideas from philosophy influence culture and society. Most importantly, we will be dealing with the big questions of philosophy and attempt to form our *own *ideas on those matters. Students aren't just learning philosophy... Students will learn to become philosophers.  Estimated out-of-class homework time: 1-2 hours/week Grades 9 - 12","9,10,11,12",Thursday,11:30-12:55,10,9,15,630
Mock Trial,Elective,HS,Jansen Gibson,"In Mock Trial students will learn how to understand, plan, and lead a trial in an actual courtroom as either attorneys or witnesses in cases written by the Tennessee Bar Association. Students will learn how to make opening and closing statements, write direct and cross-examinations, how to utilize rules of evidence, and how to act in character as a witness from an official affidavit. Members of this class should be prepared to be available for the Davidson County competition (usually the last Friday and Saturday in February), the State competition on the last Friday and Saturday in March, and the same in April.  Estimated out-of-class homework time: 1-2 hours a week Grades 9 - 12","9,10,11,12",Tuesday,11:30-12:55,15,9,12,700
US History and Foreign Affairs,Social Studies,HS,John Dvorachek,"The course will focus on American History and international relations between the United States and foreign actors. This is not simply American History. This is the history of the birth and rise of Modern America. Primary topics covered will be the founding of America and the American Revolution, Western Expansion and the American Frontier Wars, the rise of America’s industrial and financial dominance in global trade, the Great Depression and World Wars decades, and the subsequent creation and evolution of the International World Order in post WWII society. The course will culminate with contemporary American Foreign Policy and we will do our best to predict how the US story will unfold in decades to come.  Estimated out-of-class homework time: 4 hours/week Grades 9 - 12","9,10,11,12",Tuesday,13:00-14:25,20,9,15,630
Government Civics and Economics,Social Studies,HS,Meagan Rudman and John Dvorachek,"This class will explore the structure and function of the US government and politics. We will cover such topics as the Constitution, civil rights, interest groups, politics, voting, Congress, the presidency, the judiciary, laws, public policies, state & local government, and current events. Additionally, students will learn how a citizen participates productively in society and the basics of macroeconomics. They will develop an understanding of how economic forces interact with government policy. Throughout the class, a focus will be given to political philosophy and the civic relationship between the citizen and the state. This will qualify for 1 HS social studies credit in government, civics, and economics. Estimated out-of-class homework time: 1-2 hours/week Grades 10 - 12","10,11,12",Tuesday,11:30-12:55,30,9,15,630
ASL 2,World Languages,HS,Heather Olmstead,"ASL 2 develops knowledge of fingerspelling, vocabulary, and grammatical structures, and expands visual receptive and gestural expressive skills in order to comprehend and express essential ideas in ASL. This course is designed to qualify for one year of high school language credit.  Estimated out-of-class homework time: 2 hours/week Grades 10 - 12","9,10,11,12",Thursday,13:00-14:25,30,9,15,630
Spanish 1,World Languages,HS,Rowena Aldridge,"Spanish 1 emphasizes the development of foundational skills in reading, writing, listening, and speaking in Spanish. Through interactive lessons and immersive activities, students will engage in practical exercises designed to enhance their abilities in novice Spanish comprehension, expression, and communication. The course delves into essential vocabulary and cultural nuances, fostering a well-rounded understanding of the language and the cultures of the Spanish-speaking world. Expect approximately 4 hours of homework per week and a required workbook to complement the in-class sessions. This course is designed to meet the Tennessee standards for 1 high school credit toward graduation.  Estimated out-of-class homework time: 3 hours/week Grades 9 - 12","8,9,10,11,12",Thursday,11:30-12:55,30,9,15,630
STEAM,Elective,MS,Dawn Ruiz,"STEAM class will be a hands-on experience. Each week students will be presented with materials and design challenges that incorporate different aspects of STEAM (Science, Technology, Engineering, Arts, and Mathematics). Students will be encouraged to think critically and creatively about how to design and improve their projects.  Estimated Out of class homework time: 1 hour/week or less Grades 5 - 8","5,6,7,8,9",Thursday,11:30-12:55,40,11,15,595
Anatomy and Physiology,Science,HS,Mary West,"This course will enable students to develop an understanding of the relationships between the structures and functions of the human body. The course will briefly discuss how cells and tissues make up the organ systems. Primary focus will be on the skeletal, muscular, nervous, cardiovascular, respiratory, digestive/excretory, urinary, and reproductive systems (integumentary and lymphatic/immune systems will be discussed if time allows.) Students will be expected to learn anatomical and medical terminology as it relates to the subject matter. High School Biology is recommended as a prerequisite course. Students will also participate in laboratory dissection of preserved specimens, among other labs.  Estimated out-of-class homework time: 3 hours/week Grades 10 - 12","10,11,12",Thursday,11:30-12:55,40,9,15,630
Biology,Science,HS,Mary West,"This course will give students a general introduction to a range of topics including basic biological concepts, the chemistry of life, structure and function of prokaryotic and eukaryotic cells, DNA and gene expression, cellular replication (mitosis and meiosis), cellular respiration, photosynthesis, and modern applications of biotechnology. This class will meet the Tennessee high school graduation requirement for biology with a lab.  Estimated out-of-class homework time: 2 hours/week Grades: 9 - 10","9,10",Thursday,13:00-14:25,40,9,15,630
Chemistry,Science,HS,Jansen Gibson,"Students will learn the fundamentals of chemistry, from the atomic to the universal scale. Discussions will include real-life applications of environmental, organic, biological, and industrial chemistry, and integrate hands-on labs and experiments to make our understanding of the chemical world tactile and “explosive.” This class will meet the Tennessee high school graduation requirement for chemistry with a lab. Textbook included in class fee.  Estimated out-of-class homework time: 3 hours/week Grades 10 - 12","10,11,12",Thursday,11:30-12:55,40,9,15,630
HS Studio Art,Art,HS,Charles Key,"High School Studio Art is designed to encourage and support students in their unique creative journey. An emphasis will be placed on traditional studio development with a strong focus on realistic drawing skills, observational drawing practice, three-dimensional shading, multi-point perspectives, and figure drawing. Completion of this class will satisfy one credit for a high school art class.  Estimated out-of-class homework time: 1 hour/week Grades 9 - 12","9,10,11,12",Thursday,13:00-14:25,50,9,15,630
Test Prep/Critical Thinking,Elective,HS,Elizabeth Bills,"Test Prep: This class prepares students for standardized college admissions tests (ACT, SAT, etc) Critical Thinking: The wonderful part about the Information Age is the accessibility; most of what we need to know, we can find with a few clicks and a short video. That accessibility is also the downside of the Information Age. How do we find objective truth (if there is such a thing) amongst the clickbait and sensationalism? How do we become confident in our own abilities to reason through and analyze the information we consume in our daily lives, no matter the source? Using games, puzzles, discussion, and other strategies, this class will focus on sharpening students’ thinking and reasoning skills over the course of one semester.  Estimated out-of-class homework time: 2-3 hours/week Grades 9 - 12","9,10,11,12",Thursday,13:00-14:25,50,9,15,630
Studio Art Intermediate,Art,MS/HS,Charles Key,"Studio Art Intermediate provides a space for artistically motivated, driven and experienced students who are ready to undertake new creative challenges in an independent work environment. During this studio course students will focus on defining their unique artistic voice while learning how to provide, process and utilize constructive feedback in a supportive and nurturing community of fellow artists.  Estimated out-of-class homework time: 1 hour/week Grades 7 - 12","7,8,9,10,11,12",Thursday,11:30-12:55,50,11,15,630
Blues and Beyond Band,Elective,MS/HS,Dave Nooe,"This unique band class blends the best of rock bands, traditional orchestras and other ensembles! From beginner to advanced, students come together to explore our country's musical roots through original composition, collaboration, rehearsal, and performance. We focus on rhythm and melody, the foundational elements in roots music, while accommodating different learning styles. Blues and Beyond emphasizes inclusive learning. That's why we offer a variety of approaches, including ear training, numbers, letters, tab, and traditional iconic notation. Whether you bring your own instrument or use one of ours, all musicians are welcome!  Estimated out-of-class homework time: 1-2 hours/week; plus rehearsals and performances Grades: 5 - 12","5,6,7,8,9,10,11,12",Tuesday,13:00-14:25,20,9,15,630
Choir,Elective,MS/HS,Fleming McWilliams,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music and grow a love and appreciation for music and its influence in society.  Estimated out-of-class homework time: 30 mins/week, plus rehearsals and performances Grades 5 - 12","5,6,7,8,9,10,11,12",Thursday,11:30-12:55,20,9,15,630
Choir,Elective,MS/HS,Fleming McWilliams,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music and grow a love and appreciation for music and its influence in society.  Estimated out-of-class homework time: 30 mins/week, plus rehearsals and performances Grades 5 - 12","5,6,7,8,9,10,11,12",Thursday,13:00-14:25,20,9,15,630
Computer Science,Math,HS,Becky Gore and Elizabeth Bills,"The Computer Science class will include the following topics: digital information, the internet, big data and privacy, programming and social issues in computing. The curriculum emphasizes both theoretical understanding and practical application, providing students with opportunities to engage in hands-on projects that reinforce their learning. This course meets one day per week. This course fulfills the Tennessee requirement for computer science and can be used as a math or a Science credit. The textbook is included in the class fees. Prerequisite: Algebra 1.  Estimated out-of-class homework time: 2 hours/week Grades 9 - 12","9,10,11,12",Thursday,11:30-12:55,50,18,24,630
Our Voices,English Language Arts,MS,Kendra Andrus,"Literature gives us the opportunity to hear and understand a variety of voices. This course is designed to explore a wide range of perspectives by contemporary and classical voices. Students will engage with stories through close reading and then practice finding and using their own voices through class discussions and the effective written expression of their own thoughts, poems, and stories. Students can expect to expand their creativity, sharpen their creative and expository writing skills, and have lively class discussions with diverse points of view in a safe and encouraging environment. Assignments include creative projects, summaries, reflection and analysis, presentations/speeches, essays, debate, creative writing, and poetry. We will also cover in-depth writing revision, vocabulary expansion, and grammar practice. Our texts span novels, poetry, biography/memoir, short stories, picture books, a graphic novel, and a play. Find your voice and learn to use it!  Estimated out-of-class homework time: 3 hours/week Grades 6 - 7","6,7,8",Tuesday/Thursday,8:30-9:40,20,11,15,925
Reading for Writing,English Language Arts,MS,Rowena Aldridge,"This course for younger middle school students is designed to strengthen literary comprehension and writing skills. The course focuses on strategies for understanding and analyzing a variety of texts, including fiction, nonfiction, illustrated texts, poetry, and more. Students will write regularly both during class and at home, using mentor texts to practice writer's craft such as figurative language, imagery, tone, revision, editing, and final polishing. Each year features new and exciting books, ensuring a fresh experience for every student. The overall goal is to help students become more confident and capable readers and writers.  Estimated out-of-class homework time: 2 hours/week Grades 5 - 6","5,6",Tuesday/Thursday,9:45-10:55,20,11,15,925
Stories for a New World,English Language Arts,MS,Helena Sorenson,"Stories for a New World is an ELA class designed to help students think critically and express themselves effectively. Students will review grammar principles, practice essay writing, expand their vocabulary, and explore literature and poetry, all while endeavoring to answer the question, What do we carry with us into a new world? The focus of this course was inspired by a conversation between Krista Tippett and Ocean Vuong and Amanda Gorman’s poem, “What We Carry.” Estimated out-of-class homework time: 3 hours/week Grades 8 - 9","7,8,9",Tuesday/Thursday,8:30-9:40,20,11,15,925
Math 7,Math,MS,Leslie Lutz,"This class will cover 7th-grade math standards, including two-step equations, proportional relationships, slope and graphing equations, percent (markup, discount, interest, etc), scale figures, indirect measurement, probability, and prepare students for pre-algebra. Pre-requisites include being able to do all operations with whole numbers, decimals, and fractions (we will review these), understanding fractions and ratios, finding the perimeter and area of basic shapes, solving simple problems with an unknown (variable), and other 6th-grade standards. This class meets two days a week. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 3 hours/week Grades 6 - 8","6,7,8",Tuesday/Thursday,9:45-10:55,50,11,15,925
Middle School Math,Math,MS,Leslie Lutz,"This class is designed to provide a solid foundation in critical mathematics concepts. We will cover multiplication and division of decimals and fractions, as well as geometry, integers (negatives), measurement, ratios, solving simple problems with an unknown (a variable), etc. We hope to meet students where they are and prepare them for advanced mathematical ideas. Prerequisites include being able to add and subtract all whole numbers, multiplication and division concepts, representing fractions in multiple ways, and all other 4th-grade math skills. This class is self-paced, so students can take it more than once and will be given material at their current level of understanding. We meet two days a week and the textbook is included in the class fees.  Estimated out-of-class homework time: less than 3 hours/week Grades 5 - 7","5,6,7",Tuesday/Thursday,8:30-9:40,50,11,15,925
Pre-Algebra,Math,MS,Becky Gore,"This class will cover 8th grade standards designed to prepare students for Algebra 1 and other high school math courses. This is the course where we tick all the boxes to ensure students are ready for high school math. Topics include a review of 7th-grade standards plus exponents, algebraic expressions, equations and inequalities, proportions and percent, functions and graphing in the coordinate plane, geometry concepts, measurement, and probability and statistics. This class meets on both Tuesdays AND Thursdays. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 3 hours/week Grades 7 - 8","7,8,9",Tuesday/Thursday,9:45-10:55,50,11,15,925
Theater,Elective,MS/HS,Megan Roggendorff and Fleming McWilliams,"Students will learn the ins and outs of putting on a production. We will start the first few weeks of class doing acting exercises. The first part will work as a partial audition towards our show. We will then announce our show and go through an audition process. Characters will be assigned and from that point on we will begin working on our spring production. Theater is a big commitment that includes parents. Students will need to be available for extra rehearsals as needed and parents will be asked to participate as volunteers in all aspects of the show.  Estimated out-of-class homework time: varies by role; average 2-3 hours / week, plus 6 - 12 hours / week of rehearsals in the two months before show date and performance.  Grades 7 - 12","7,8,9,10,11,12",Thursday,14:30-16:00,50,18,24,925
Pre-Calculus,Math,HS,Elizabeth Bills,"This class will cover the topics normally covered in a high school Precalculus as identified by the TN state standards (some of which are deeper explorations of material from Algebra 2, such as understanding and graphing functions, and others are brand new: Polar Graphing and Vectors) and will qualify for a high school math credit in Precalculus. It meets two days a week, and Algebra 2/Geometry are prerequisites. The textbook for this class is included in the class fee. If they don't already have one, students will need to acquire a Texas Instruments nSpire cxii graphing calculator (NOT the CAS version). If they already have a Texas Instruments nSpire cx graphing calculator, that is acceptable. Substitute/alternative calculators will not suffice, as instruction will be tied to certain features that are unique to this specific unit.  Estimated Out of Class Homework Time: 4 hours/week Grades 11 - 12","10,11,12",Tuesday/Thursday,8:30-9:40,50,9,15,970
Literature 1,English Language Arts,HS,Kendra Andrus,"Designed with freshmen in mind, this class will focus on learning how to analyze literary elements in a variety of literature genres from diverse authors and will include classics, contemporary fiction, non-fiction, short stories, picture books, poetry, a graphic novel, and a play. In a discussion-oriented class, students will practice critical thinking skills as well as thinking deeply, figuratively, and empathetically. They will have weekly reading, journaling, and grammar assignments and will complete both informal and formal writing assignments including creative pieces, poetry, rhetorical speeches, and several essays. SAT/ACT prep vocabulary is included. This class meets Tuesday AND Thursday and will qualify for 1 credit of high school ELA.  Estimated out-of-class homework time: 3-4 hours/week Grade 9","8,9,10",Tuesday/Thursday,9:45-10:55,20,9,15,970
Literature 2/3,English Language Arts,HS,Amanda Gregg,"Every voice matters in the discussion of literature—both the reader’s and the author’s. In this class, we will study a diverse range of literature, including plays, short stories, classic and contemporary novels, non-fiction works, and poetry, and synthesize our learning through class discussions. Students will write several academic essays while also completing a variety of creative responses that allow them to examine literature in different ways. We will focus on literary analysis and synthesis, writing techniques, vocabulary, and grammar. Each student should be prepared to bring their knowledge, experience, and creativity to each class, as we all benefit from the many voices and ideas in the room. This class meets on Tuesday and Thursday and fulfills the Tennessee high school graduation requirement for one year of ELA.  Estimated out-of-class homework time: 3-4 hours/week Grades 10 - 11","10,11,12",Tuesday/Thursday,8:30-9:40,20,9,15,970
Literature 2/3,English Language Arts,HS,Megan Roggendroff,"Every voice matters in the discussion of literature—both the reader’s and the author’s. In this class, we will study a diverse range of literature, including plays, short stories, classic and contemporary novels, non-fiction works, and poetry, and synthesize our learning through class discussions. Students will write several academic essays while also completing a variety of creative responses that allow them to examine literature in different ways. We will focus on literary analysis and synthesis, writing techniques, vocabulary, and grammar. Each student should be prepared to bring their knowledge, experience, and creativity to each class, as we all benefit from the many voices and ideas in the room. This class meets on Tuesday and Thursday and fulfills the Tennessee high school graduation requirement for one year of ELA.  Estimated out-of-class homework time: 3-4 hours/week Grades 10 - 11","10,11",Tuesday/Thursday,9:45-10:55,20,9,15,970
