Course Name,Subject Area,MS/HS,Teacher,Course Description,Grades (in registration system),Recommended for Grade(s):,Day,Time,Supply Fee,Class Min,Class Max,Tuition
Earth Science ,Science,MS,Jansen Gibson,"In this class students will take a broad-ranging look at our planet and its place in the universe. We will learn about ecology, astronomy, geology, paleontology, agriculture, and environmental science, expanding our understanding of the Earth around us and its history!

Estimated out-of-class homework time: 2 hours/week","6,7,8","7,8",Tuesday,1:00-2:25,40,11,15,595
Finance/Test Prep,Elective,HS,Elizabeth Bills,"Finance: Introduces financial topics such as budgeting, finance, interest, taxes, etc. This class will qualify students for the high school finance credit (0.5) requirement.

Test Prep: This class prepares students for standardized college admissions tests (ACT, SAT, etc)

Estimated out-of-class homework time: 1-2 hours/week","9,10,11,12","9,10,11,12",Thursday,1:00-2:25,50,9,18,630
General Science,Science,MS,Dawn Ruiz,"Covers science via discrete units of study with an emphasis on the scientific method and familiarization with scientific vocabulary. Units will include scientific method, life sciences, human anatomy and physiology, earth/space sciences, chemistry and physics.

Estimated out-of-class homework time: 1-2 hours/week","5,6,7","5,6",Tuesday,11:30-12:55,40,11,15,595
Geometry,Math,HS,Elizabeth Bills,"Will cover the topics normally covered in a high school Geometry course. This course is designed to qualify for a high school math credit in Geometry and meets two days a week. Algebra 1 is a prerequisite. The textbook for this class is included in the class fee. Students will need to acquire a Texas Instruments nSpire cxii graphing calculator (NOT the CAS version). If they already have a Texas Instruments nSpire cx graphing calculator, that is acceptable.  Substitute/alternative calculators will not suffice, as instruction will be tied to certain features that are unique to this specific unit.

Estimated out-of-class homework time: 4 hours/week","9,10,11,12","10,11,12",Tuesday/Thursday,9:45-10:55,50,9,18,970
Government Civics and Economics ,Social Studies,HS,Meagan Rudman and John Dvorachek,"This class will explore the structure and function of the US government and politics. We will cover such topics as the Constitution, civil rights, interest groups, politics, voting, Congress, the presidency, the judiciary, laws, public policies, state & local government, and current events. Additionally, students will learn how a citizen participates productively in society and the basics of macroeconomics. They will develop an understanding of how economic forces interact with government policy.  Throughout the class, a focus will be given to political philosophy and the civic relationship between the citizen and the state. This will qualify for 1 HS social studies credit in government, civics, and economics. 

Estimated out-of-class homework time: 1-2 hours/week","10,11,12","10,11,12",Tuesday,11:30-12:55,30,9,18,630
Human Nature in the Age of AI,Elective,HS,John Dvorachek,"Through the duration of the course, we will study various philosophies of human nature, from a variety of philosophers throughout history. While looking at their interpretations of identity and human nature we will also address these questions through the modern lenses of psychology, sociology, and the natural sciences. Additionally, throughout the year, we will be learning and trying to keep up with contemporary advancements in the emerging area of Artificial Intelligence. How will Human Nature be affected, now that your customer service representatives aren’t human… and you can’t tell the difference. How will it be affected in the near future… when your doctor or psychologist, is no longer human? Societal Advancement for All!! Or, Terminator 2, Judgment Day??

Estimated out-of-class homework time: 2-3 hours/week","10,11,12","11,12",Tuesday,1:00-2:25,15,9,18,630
Journalism/Yearbook ,Elective,MS/HS,Anna Boneh and Rachel Parker,"Calling all aspiring writers, photographers, graphic designers, and young editors. In this course we will tackle two important tasks, the WEB yearbook and the inaugural year of our WEB newspaper. Students will have the opportunity to experience each of the many roles that bring a printed project together, as well as discover and hone hidden talents. Syllabus will include intro to photography, basics of graphic design, interviewing skills, journalism, layout, and editing. Access to a laptop and basic computer skills (create documents, cut & paste) is helpful.

Estimated out-of-class homework time: 2-3 hours/week","7,8,9,10,11,12","7,8,9,10,11,12",Tuesday,11:30-12:55,15,9,24,630
Life Science,Science,MS,Brenda Wolff,"In this class students will explore the diverse realm of biology (with a focus on human biology) on a microscopic and macroscopic level: from unicellular to complex organisms, DNA to proteins, cellular to organism for plants, animals, and humans.

Estimated out-of-class homework time: 3 hours/week","5,6,7,8","5,6,7,8",Tuesday,11:30-12:55,40,11,15,595
Life Skills,Elective,MS,TBD,"This class will explore a variety of ""life skills,"" such as basic economics, cooking and nutrition, mental health, first aid, child care/ babysitting, home alone safety, outdoor survival skills, and more.

Estimated out-of-class homework time: 0-30 mins/week","5,6,7,8,9","5,6,7,8",Thursday,9:45-10:55,15,11,15,595
Literature 1,English Language Arts,HS,Kendra Andrus,"Designed with freshmen in mind, this class will focus on learning how to analyze literary elements in a variety of literature from diverse authors. In a discussion-oriented class, students will have weekly reading and journaling assignments and will complete both informal and formal writing, including creative pieces and expository essays. This class meets Tuesday AND Thursday and will qualify for 1 credit of high school ELA. 

Estimated out-of-class homework time: 3-4 hours/week","8,9,10",9,Tuesday/Thursday,9:45-10:55,20,9,18,970
Literature 2/3 - Block 1,English Language Arts,HS,Amanda Gregg,"Every voice matters in the discussion of literature: both the reader's and author’s voices. In this class, we will discuss a diverse spread of literature and synthesize it through class discussions. Students will write several analytical papers while also completing various creative responses that allow them to examine these books in different manners. We will be looking at literary devices such as tone, figurative language, symbolism, and artistic design. Each student should be ready to bring their knowledge, experience, and creativity to each class, as we all benefit from the various voices and ideas in the room. This class meets Tuesday AND Thursday and will meet the Tennessee high school graduation requirement for one year of ELA.

Estimated out-of-class homework time: 3-4 hours/week","10,11,12","10,11",Tuesday/Thursday,8:30-9:40,20,9,18,970
Literature 2/3 - Block 2,English Language Arts,HS,Megan Roggendroff,"Every voice matters in the discussion of literature: both the reader's and author’s voices. In this class, we will discuss a diverse spread of literature and synthesize it through class discussions. Students will write several analytical papers while also completing various creative responses that allow them to examine these books in different manners. We will be looking at literary devices such as tone, figurative language, symbolism, and artistic design. Each student should be ready to bring their knowledge, experience, and creativity to each class, as we all benefit from the various voices and ideas in the room. This class meets Tuesday AND Thursday and will meet the Tennessee high school graduation requirement for one year of ELA.

Estimated out-of-class homework time: 3-4 hours/week","10,11,12","10,11",Tuesday/Thursday,9:45-10:55,20,9,18,970
Math 7 ,Math,MS,Leslie Lutz,"This class will cover 7th-grade math standards, including two-step equations, proportional relationships, slope and graphing equations, percent (markup, discount, interest, etc), scale figures, indirect measurement, probability, and prepare students for pre-algebra. Pre-requisites include being able to do all operations with whole numbers, decimals, and fractions (we will review these), understanding fractions and ratios, finding the perimeter and area of basic shapes, solving simple problems with an unknown (variable), and other 6th-grade standards. This class meets two days a week. The textbook for this class is included in the class fee. 

Estimated out-of-class homework time: 3 hours/week","6,7,8",7,Tuesday/Thursday,9:45-10:55,50,11,15,925
Math Lab,Math,MS,Leslie Lutz,"Take a deep dive into foundational mathematical concepts (division, fractions, order of operations, etc) through exploration, games, critical thinking, and playing with manipulatives. Homework will be minimal to allow time for students to complete an all encompassing curriculum simultaneously either at WEB or using an outside curriculum.

Estimated out-of-class homework time: less than 1 hour/week","5,6,7,8,9","5,6,7,8",Thursday,8:30-9:40,25,11,15,595
Middle School Math,Math,MS,Leslie Lutz,"This class is designed to provide a solid foundation in critical mathematics concepts. We will cover multiplication and division of decimals and fractions, as well as geometry, integers (negatives), measurement, ratios, solving simple problems with an unknown (a variable), etc. We hope to meet students where they are and prepare them for advanced mathematical ideas. Pre-requisites include being able to add and subtract all whole numbers, multiplication and division concepts, representing fractions in multiple ways, and all other 4th-grade math skills. This class is self paced, so students can take it more than once and will be given material at their current level of understanding. We meet two days a week and the textbook is included in the class fees. 

Estimated out-of-class homework time: 3 hours/week","5,6,7,8","5,6",Tuesday/Thursday,8:30-9:40,50,11,15,925
Mock Trial,Extracurricular,HS,Jansen Gibson ,"In Mock Trial students will learn how to understand, plan, and lead a trial in an actual courtroom as either attorneys or witnesses in cases written by the Tennessee Bar Association. Students will learn how to make opening and closing statements, write direct and cross-examinations, how to utilize rules of evidence, and how to act in character as a witness from an official affidavit. Members of this class should be prepared to be available for the Davidson County competition (usually the last Friday and Saturday in February), the State competition on the last Friday and Saturday in March, and the same in April.","9,10,11,12","9,10,11,12",Tuesday,2:30-3:30,10,9,18,385
Musical Theater Dance,Extracurricular,MS/HS,Rachel Parker,"Musical Theater Dance will be a fun, high energy class focusing on choreography from popular Broadway musicals. We will study jazz and ballet fundamentals as well as practice character expression and stage presence, with the goal of building confidence while performing. Everyone is welcome and no dance or theater experience is necessary.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,2:30-3:30,0,11,15,385
Neuroscience ,Science,HS,Brenda Wolff,"This course explores how the brain controls thoughts, emotions, behaviors, and body functions. Key topics include brain anatomy, neural communication, sensory perception, memory, learning, and the biological basis of mental health. Students will engage in hands-on experiments, analyze case studies, and explore research to understand how neuroscience connects to real-world issues, such as brain injuries, neurological disorders, and emerging technologies like brain-computer interfaces. This course is perfect for aspiring scientists, healthcare professionals, or anyone interested in the science of what makes us human! 

Estimated out-of-clas homework time: 3 hours/week","10,11,12","10,11,12",Thursday,11:30-12:55,40,9,18,630
Open Art Studio,Extracurricular,MS/HS,Evelyn Thoen,"Open Art Studio provides time and space for students to work on projects with a variety of materials and an art teacher present to provide guidance, inspiration, and instruction. Students can work on the recommended project or work on something of their own.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,2:30-3:30,0,8,16,385
Open Art Studio,Extracurricular,MS/HS,Evelyn Thoen,"Open Art Studio provides time and space for students to work on projects with a variety of materials and an art teacher present to provide guidance, inspiration, and instruction. Students can work on the recommended project or work on something of their own.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,2:30-3:30,0,8,16,385
Our Stories,English Language Arts,MS,Kendra Andrus and Helena Aman,"Literature gifts us the opportunity to discover a variety of life
experiences through stories. This course is designed to explore a wide range of perspectives by contemporary and classical voices. Students will engage in stories through reading, discussion, and the writing of their own stories. Students can expect to expand their creativity, sharpen their expository writing skills, and have lively class discussions with diverse points of view, in a welcoming environment. Assignments include class projects, presentations, essays, creative writing, and poetry. We will also cover in depth writing revision, vocabulary expansion, and grammar work. Reading spans novels, poetry, autobiographies, short stories, and graphic novels. This course rotates book lists every year, so students are expected to take it two years in a row. 

Estimated out-of-class homework time: 3 hours/week","6,7,8,9","7,8",Tuesday/Thursday,8:30-9:40,20,11,30,925
Pen and Page,English Language Arts,MS,Rowena Aldridge,"Do you want to read like a writer and write like a reader? In this class, students will dive into stories, articles, and poems—not just to understand them, but to discover how great writing works. Through engaging discussions, creative exercises, and structured writing projects, students will explore figurative language, tone, imagery, and the power of revision. Whether crafting narratives, persuasive essays, or poetic pieces, students will sharpen their skills and build confidence as both readers and writers.

Estimated out-of-class homeowrk time: 3 hours/week","5,6,7","5,6",Tuesday/Thursday,9:45-10:55,20,11,15,925
Physical Science ,Science,MS,Dawn Ruiz,"Students will learn about mechanics, heat, electricity, atomic structure, astronomy, and more. Students should be enrolled in at least Pre-Algebra math concurrently. (Math does not have to be taken at WEB.) This class can qualify as a high school science credit if registered in advance as such with the Board of Education or an umbrella school. Textbook included in class fee.

Estimated out-of-class homework time: 3 hours/week","8,9","8,9",Tuesday,1:00-2:25,40,11,15,595
Pre-Algebra,Math,MS,Becky Gore,"This class will cover 8th grade standards designed to prepare students for Algebra 1 and other high school math courses. This is the course where we tick all the boxes to ensure students are ready for high school math. Topics include a review of 7th-grade standards plus exponents, algebraic expressions, equations and inequalities, proportions and percent, functions and graphing in the coordinate plane, geometry concepts, measurement, and probability and statistics. This class meets on both Tuesdays AND Thursdays. The textbook for this class is included in the class fee.

Estimated out-of-class homework time: 3 hours/week","7,8,9",8,Tuesday/Thursday,9:45-10:55,50,11,15,925
SEL Workshop,Elective,MS,Rachel Parker,"With the goal of developing self-awareness and stress management, as well as learning to connect mind, body, and breath, students will engage in a series of social-emotional learning games and activities. Classes will include breathing exercises, mindful movement, art creations, journaling, mindfulness activities, and positive affirmations. All activities are designed to build creativity, compassion, self-awareness, emotional regulation, and social skills.

Estimated out-of-class homework time: 30 minutes/week","5,6,7,8,9","5,6,7,8,9",Thursday,1:00-2:25,15,11,15,595
Senior Seminar,English Language Arts,HS,Amanda Gregg,"The purpose of Senior Seminar is to prepare students for college-level thinking, writing, and analysis. In this seminar, we will read and discuss both contemporary and classic literature from a variety of genres. Additionally, we will practice using analytical skills on other art forms, such as music and film. Students will also have the opportunity to develop their unique voices in college application or personal statement essays, as well as in several additional essays and creative assignments. This course satisfies Tennessee high school graduation requirements for one year of English Language Arts (ELA).

Estimated out-of-class homework time: 3-4 hours/week",12,12,Tuesday/Thursday,9:45-10:55,20,9,18,970
Song Writing,Extracurricular,HS,TBD,"Collaborate with peers to share ideas, workshop lyrics, and explore melodies in a supportive environment. Bring your musical vision to life while learning from each other's unique perspectives and styles.","8,9,10,11,12","9,10,11,12",Tuesday,2:30-3:30,0,9,18,385
STEAM,Elective,MS,Dawn Ruiz and Christy Cox,"STEAM class will be a hands-on experience. Each week students will be presented with materials and design challenges that incorporate different aspects of STEAM (Science, Technology, Engineering, Arts, and Mathematics). Students will be encouraged to think critically and creatively about how to design and improve their projects.

Estimated out-of-class homework time: less than 1 hour/week","5,6,7,8","5,6,7,8",Thursday,1:00-2:25,60,11,15,595
Strength & Conditioning,Extracurricular,MS/HS,Rod Steward,"Join Coach Rod for an afternoon club where you will be sure to get your sweat on! He will cover proper technique for stretching and calisthenics, with a little running and some fun fitness games too.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,2:30-3:30,0,8,16,385
Strength & Conditioning,Extracurricular,MS/HS,Rod Steward,"Join Coach Rod for an afternoon club where you will be sure to get your sweat on! He will cover proper technique for stretching and calisthenics, with a little running and some fun fitness games too.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,2:30-3:30,0,8,16,385
Studio Art Fundamentals,Art,MS,Evelyn Thoen,"Studio Art Fundamentals is designed to encourage and support students in their unique creative journey. An emphasis will be placed on traditional studio development with a strong focus on realistic drawing skills, including three-dimensional shading, perspective, and figure drawing. Students will also explore painting, printmaking, textiles, and sculpture. Recommended for beginning art students.

Estimated out-of-class homework time: 30 minutes - 1 hour/week","5,6,7,8","5,6,7",Tuesday,1:00-2:25,50,11,15,595
Studio Art Intermediate,Art,MS/HS ,Charles Key,"Studio Art Intermediate provides a space for artistically motivated, driven and experienced students who are ready to undertake new creative challenges in an independent work environment. During this studio course students will focus on defining their unique artistic voice while learning how to provide, process and utilize constructive feedback in a supportive and nurturing community of fellow artists. 

Estimated out-of-class homework time: 1 hour/week","7,8,9,10,11,12","7,8,9,10,11,12",Thursday,11:30-12:55,50,11,18,630
HS Studio Art,Art,HS,Charles Key,"High School Studio Art is designed to encourage and support students in their unique creative journey. An emphasis will be placed on traditional studio development with a strong focus on realistic drawing skills, observational drawing practice, three-dimensional shading, multi-point perspectives, and figure drawing. Completion of this class will satisfy one credit for a high school art class.

Estimated out-of-class homework time: 1 hour/week","9,10,11,12","9,10,11,12",Thursday,1:00-2:25,50,9,18,630
Study Hall,Study Hall,MS/HS,Rachel Parker ,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,11:30-12:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Rachel Parker ,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,9:45-10:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,11:30-12:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,8:30-9:40,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,9:45-10:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,1:00-2:25,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,8:30-9:40,0,0,18,295
Study Hall ,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10. ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,1:00-2:25,0,0,18,295
The Writer's Nook,Extracurricular,HS,Anna Boneh,"Have you been writing a novel since you were a mere toddler? Have you been trying to finish a short story for the last year? Do you like writing but don’t know how to start? This group will be a playful meeting of the writerly minds, a place of inspiration and joy. Ms. Anna will bring in a different prompt or short idea each week and then everyone will have time to write followed by time for sharing. This is not a time of imposed structure! While we encourage experimenting with different forms and ideas, you can always use the time to work on whatever project most excites you.","7,8,9,10,11,12","7,8,9,10,11,12",Thursday,2:30-3:30,0,9,18,385
Theater,Elective,MS/HS,Megan Roggendorff,"Students will learn the ins and outs of putting on a production. We will start the first few weeks of class doing acting exercises. The first part will work as a partial audition towards our show. We will then announce our show and go through an audition process. Characters will be assigned and from that point on we will begin working on our spring production. Theater is a big commitment that includes parents. Students will need to be available for extra rehearsals as needed and parents will be asked to participate as volunteers in all aspects of the show. 

Estimated out-of-class homework time: varies by role; average 2-3 hours / week, plus 6 - 12 hours / week of rehearsals in the two months before show date and performance. ","7,8,9,10,11,12","7,8,9,10,11,12",Thursday,2:30-4:00,50,9,24,925
Two Truths and Some Lies (World History) ,Social Studies,MS,Rowena Aldridge ,"In this course, students will explore the modern world through a mix of truth, myth, and mystery. From revolutions and global conflicts to groundbreaking innovations, students will delve into key historical events and discover how the stories of the past have shaped the present. Along the way, they'll challenge what they know, examine different perspectives, and uncover the surprising truths (and lies) that have defined our world today.

Estimated out-of-class homework time: Up to 3 hours/week","5,6,7,8","5,6,7,8",Thursday,11:30-12:55,30,11,15,595
Walk the Land,Elective,MS,Rachel Parker ,"Walk the Land is a class that encourages play and self-discovery, combining outdoor education with literature and art. Students will spend time outdoors learning about the trees and plants around them, gardening, and also creatively building poems, crafts, and ideas in tandem with nature.

Estimated out-of-class homework time: none to minimal ","5,6,7,8","5,6,7,8",Thursday,11:30-12:55,5,11,15,595
